iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_bagging_freq,param_feature_fraction,param_lambda_l1,param_lambda_l2,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
1,600,0.7145293951034546,0.03190958499908447,0.018545031547546387,0.000538945198059082,0.6333905071376424,1,0.8508037069686584,0.006147875124998935,0.14032323211830572,0.09182658859666537,24,5,5672,1023,"{'bagging_fraction': np.float64(0.6333905071376424), 'bagging_freq': 1, 'feature_fraction': np.float64(0.8508037069686584), 'lambda_l1': np.float64(0.006147875124998935), 'lambda_l2': np.float64(0.14032323211830572), 'learning_rate': np.float64(0.09182658859666537), 'max_depth': 24, 'min_data_in_leaf': 5, 'n_estimators': 5672, 'num_leaves': 1023}",-0.015230255837447798,-0.06975470814475382,-0.04249248199110081,0.02726222615365301,11,-1.42344897932578e-07,-1.0324786419141119e-07,-1.227963810619946e-07,1.9548516870583404e-08
1,600,0.6578469276428223,0.0916140079498291,0.010941505432128906,0.0034453868865966797,0.9004746473411999,3,0.8164509778619565,0.06532882184423532,0.23012644524575832,0.0555616789315935,42,15,8502,63,"{'bagging_fraction': np.float64(0.9004746473411999), 'bagging_freq': 3, 'feature_fraction': np.float64(0.8164509778619565), 'lambda_l1': np.float64(0.06532882184423532), 'lambda_l2': np.float64(0.23012644524575832), 'learning_rate': np.float64(0.0555616789315935), 'max_depth': 42, 'min_data_in_leaf': 15, 'n_estimators': 8502, 'num_leaves': 63}",-0.014405577922970708,-0.07261313725815648,-0.04350935759056359,0.029103779667592884,12,-3.2307653494133746e-05,-3.776211289170147e-05,-3.503488319291761e-05,2.727229698783861e-06
1,600,0.698538064956665,0.10457587242126465,0.01723802089691162,0.0041762590408325195,0.6872700594236812,4,0.7550304369598491,0.07896910002727693,0.2994250789732435,0.04558327528535912,28,14,6078,2047,"{'bagging_fraction': np.float64(0.6872700594236812), 'bagging_freq': 4, 'feature_fraction': np.float64(0.7550304369598491), 'lambda_l1': np.float64(0.07896910002727693), 'lambda_l2': np.float64(0.2994250789732435), 'learning_rate': np.float64(0.04558327528535912), 'max_depth': 28, 'min_data_in_leaf': 14, 'n_estimators': 6078, 'num_leaves': 2047}",-0.01237648882277674,-0.07525169060441185,-0.043814089713594295,0.031437600890817555,13,-3.271509316168374e-05,-3.5724203869665174e-05,-3.4219648515674456e-05,1.5045553539907178e-06
1,600,0.6213910579681396,0.05272793769836426,0.006880044937133789,0.0017321109771728516,0.9460232775885566,2,0.8303183096531286,0.03600784076946757,0.3235516810152824,0.06789240596630997,38,8,8496,511,"{'bagging_fraction': np.float64(0.9460232775885566), 'bagging_freq': 2, 'feature_fraction': np.float64(0.8303183096531286), 'lambda_l1': np.float64(0.03600784076946757), 'lambda_l2': np.float64(0.3235516810152824), 'learning_rate': np.float64(0.06789240596630997), 'max_depth': 38, 'min_data_in_leaf': 8, 'n_estimators': 8496, 'num_leaves': 511}",-0.015148443153997361,-0.07355252842889524,-0.044350485791446306,0.029202042637448942,14,-9.035059212593825e-06,-8.882883003494554e-06,-8.95897110804419e-06,7.608810454963549e-08
1,600,1.4780689477920532,0.008612990379333496,0.04359698295593262,0.001956939697265625,0.8187149507491033,3,0.7398236266728909,0.09795368671141591,0.35829755208997605,0.005106751676787579,61,22,5677,255,"{'bagging_fraction': np.float64(0.8187149507491033), 'bagging_freq': 3, 'feature_fraction': np.float64(0.7398236266728909), 'lambda_l1': np.float64(0.09795368671141591), 'lambda_l2': np.float64(0.35829755208997605), 'learning_rate': np.float64(0.005106751676787579), 'max_depth': 61, 'min_data_in_leaf': 22, 'n_estimators': 5677, 'num_leaves': 255}",-0.012692835452903901,-0.07620123136163653,-0.044447033407270214,0.03175419795436632,15,-0.000413076763885852,-0.002488047106836256,-0.0014505619353610542,0.0010374851714752022
1,600,0.20757198333740234,0.035037994384765625,0.007170557975769043,0.0015026330947875977,0.8699543802236873,2,0.7309371606507797,0.09125529066795668,0.2536261862239286,0.08364574661077417,27,16,1198,511,"{'bagging_fraction': np.float64(0.8699543802236873), 'bagging_freq': 2, 'feature_fraction': np.float64(0.7309371606507797), 'lambda_l1': np.float64(0.09125529066795668), 'lambda_l2': np.float64(0.2536261862239286), 'learning_rate': np.float64(0.08364574661077417), 'max_depth': 27, 'min_data_in_leaf': 16, 'n_estimators': 1198, 'num_leaves': 511}",-0.014556255196131426,-0.07458330423077263,-0.044569779713452023,0.0300135245173206,16,-4.919701238701595e-05,-9.99086776385543e-05,-7.455284501278513e-05,2.5355832625769174e-05
0,200,0.2577098608016968,0.003792881965637207,0.00369107723236084,2.491474151611328e-05,0.6333905071376424,1,0.8508037069686584,0.006147875124998935,0.14032323211830572,0.09182658859666537,24,5,5672,1023,"{'bagging_fraction': np.float64(0.6333905071376424), 'bagging_freq': 1, 'feature_fraction': np.float64(0.8508037069686584), 'lambda_l1': np.float64(0.006147875124998935), 'lambda_l2': np.float64(0.14032323211830572), 'learning_rate': np.float64(0.09182658859666537), 'max_depth': 24, 'min_data_in_leaf': 5, 'n_estimators': 5672, 'num_leaves': 1023}",-0.02311897084139659,-0.06632000584184254,-0.04471948834161957,0.021600517500222977,17,-3.486110077130999e-07,-3.594822074163973e-07,-3.5404660756474863e-07,5.435599851648719e-09
0,200,1.104806661605835,0.012247562408447266,0.01443946361541748,0.000605463981628418,0.5126753717077288,4,0.7242618899851593,0.04383144749401078,0.3452499503826832,0.006819359550844361,63,4,8305,4095,"{'bagging_fraction': np.float64(0.5126753717077288), 'bagging_freq': 4, 'feature_fraction': np.float64(0.7242618899851593), 'lambda_l1': np.float64(0.04383144749401078), 'lambda_l2': np.float64(0.3452499503826832), 'learning_rate': np.float64(0.006819359550844361), 'max_depth': 63, 'min_data_in_leaf': 4, 'n_estimators': 8305, 'num_leaves': 4095}",-0.023043076365940263,-0.06660646882070606,-0.04482477259332316,0.021781696227382897,18,-3.2733973570673474e-05,-5.6454788612776784e-05,-4.4594381091725126e-05,1.1860407521051655e-05
2,1800,9.840514183044434,0.28648805618286133,0.3765833377838135,0.0014536380767822266,0.5126753717077288,4,0.7242618899851593,0.04383144749401078,0.3452499503826832,0.006819359550844361,63,4,8305,4095,"{'bagging_fraction': np.float64(0.5126753717077288), 'bagging_freq': 4, 'feature_fraction': np.float64(0.7242618899851593), 'lambda_l1': np.float64(0.04383144749401078), 'lambda_l2': np.float64(0.3452499503826832), 'learning_rate': np.float64(0.006819359550844361), 'max_depth': 63, 'min_data_in_leaf': 4, 'n_estimators': 8305, 'num_leaves': 4095}",-0.011007698988175163,-0.07954052999637166,-0.045274114492273414,0.03426641550409825,19,-4.8269482375873766e-06,-1.353898222261214e-05,-9.182965230099759e-06,4.356016992512381e-06
1,600,1.0631099939346313,0.25445711612701416,0.026234149932861328,0.00842595100402832,0.5610439773503366,0,0.7954010424915591,0.012005192452767675,0.11496758127097084,0.043710778862625636,57,16,6364,511,"{'bagging_fraction': np.float64(0.5610439773503366), 'bagging_freq': 0, 'feature_fraction': np.float64(0.7954010424915591), 'lambda_l1': np.float64(0.012005192452767675), 'lambda_l2': np.float64(0.11496758127097084), 'learning_rate': np.float64(0.043710778862625636), 'max_depth': 57, 'min_data_in_leaf': 16, 'n_estimators': 6364, 'num_leaves': 511}",-0.016548397650367617,-0.0753703926853189,-0.04595939516784325,0.02941099751747564,20,-1.6026777908211856e-06,-1.6266784552749601e-06,-1.6146781230480728e-06,1.2000332226887292e-08
