feature,family,lag,volume_normalized,target,horizon,target_kind,correlation,abs_correlation,n_samples
ES_minus_SPY_pct_120_per_ESvol,ES_minus_SPY,120,True,ES_fwd_up_360,360,binary,0.00039359361473942703,0.00039359361473942703,1055359
SPY_minus_SPX_pct_1_per_ESvol,SPY_minus_SPX,1,True,ES_fwd_up_360,360,binary,0.00039079809072375114,0.00039079809072375114,1085939
ES_pct_180_per_ESvol,ES,180,True,ES_fwd_up_240,240,binary,0.0003904605265028151,0.0003904605265028151,1067375
SPY_pct_3_per_ESvol,SPY,3,True,ES_fwd_ret_180,180,signed,-0.000389705699993988,0.000389705699993988,1147162
ES_minus_SPX_pct_2,ES_minus_SPX,2,False,ES_fwd_up_120,120,binary,-0.0003881125795140827,0.0003881125795140827,1137842
SPY_minus_SPX_pct_30_per_ESvol,SPY_minus_SPX,30,True,ES_fwd_ret_360,360,signed,-0.00038761958841835974,0.00038761958841835974,1093591
ES_minus_SPY_pct_180,ES_minus_SPY,180,False,ES_fwd_ret_12,12,signed,-0.00038427183841031377,0.00038427183841031377,1165048
ES_minus_SPX_pct_300,ES_minus_SPX,300,False,ES_fwd_ret_12,12,signed,-0.0003834828997033522,0.0003834828997033522,1133488
SPY_minus_SPX_pct_2_per_ESvol,SPY_minus_SPX,2,True,ES_fwd_ret_12,12,signed,-0.0003832517314381101,0.0003832517314381101,1190930
ES_minus_SPY_pct_300_per_ESvol,ES_minus_SPY,300,True,ES_fwd_up_12,12,binary,-0.0003805699567916557,0.0003805699567916557,1029338
ES_minus_SPX_pct_30_per_ESvol,ES_minus_SPX,30,True,ES_fwd_up_120,120,binary,-0.00037962337038754496,0.00037962337038754496,1128530
ES_minus_SPX_pct_12_per_ESvol,ES_minus_SPX,12,True,ES_fwd_ret_60,60,signed,-0.00037390453135625407,0.00037390453135625407,1175908
ES_minus_SPY_pct_90_per_ESvol,ES_minus_SPY,90,True,ES_fwd_ret_120,120,signed,-0.00037374315724152015,0.00037374315724152015,1140166
ES_minus_SPY_pct_45_per_ESvol,ES_minus_SPY,45,True,ES_fwd_ret_120,120,signed,-0.00037304001219347615,0.00037304001219347615,1151821
SPY_minus_SPX_pct_3_per_ESvol,SPY_minus_SPX,3,True,ES_fwd_ret_60,60,signed,0.00037303124388195734,0.00037303124388195734,1178239
SPY_minus_SPX_pct_90_per_ESvol,SPY_minus_SPX,90,True,ES_fwd_up_60,60,binary,-0.00037061168639496725,0.00037061168639496725,1118242
SPX_pct_12_per_ESvol,SPX,12,True,ES_fwd_ret_120,120,signed,-0.00036767688591987603,0.00036767688591987603,1160368
ES_minus_SPY_pct_180,ES_minus_SPY,180,False,ES_fwd_ret_180,180,signed,0.0003671701562505359,0.0003671701562505359,1120864
ES_minus_SPY_pct_90_per_ESvol,ES_minus_SPY,90,True,ES_fwd_up_180,180,binary,0.00036560793712941736,0.00036560793712941736,1102764
SPX_pct_240_per_ESvol,SPX,240,True,ES_fwd_up_180,180,binary,-0.0003643670865590319,0.0003643670865590319,1064312
SPX_pct_90_per_ESvol,SPX,90,True,ES_fwd_up_360,360,binary,-0.0003641010176233253,0.0003641010176233253,1063084
SPY_pct_2_per_ESvol,SPY,2,True,ES_fwd_up_60,60,binary,-0.0003629733842559668,0.0003629733842559668,1140637
